0,0,-992
-1024,80,1040  
-992,16,848  
-992,32,928  
-1024,48,1056  
-1024,32,992  
-1008,64,960  
-1008,64,960  
-1136,-96,912  
-848,-144,832  
-1088,-48,832  
-912,-128,624  
-992,-144,656  
-560,-48,608  
-640,-400,400  
-768,-480,544  
-688,-736,880  
-688,-688,960  
-576,-864,1456  
-688,-400,1712  
-464,48,1856  
-464,64,1872  
-384,-64,1984  
-560,240,1728  
-320,144,2176  
-448,304,1792  
-320,192,1984  
-384,96,1664  
-400,-288,1952  
-720,-240,1360  
-896,-32,1664  
-1088,-224,848  
-1088,-16,880  
-1072,-32,1216  
-928,112,912  
-736,80,1360  
-800,256,1120  
-848,336,1040  
-880,400,1280  
-704,560,1360  
-384,784,1296  
-256,992,1232  
432,1296,960  
368,944,864  
288,992,736  
624,640,672  
640,624,816  
-112,1008,592  
-960,288,944  
-880,272,1056  
-992,288,912  
-992,240,992  
-944,128,944  
-1056,160,960  
-944,32,960  
-992,-160,992  
-992,64,896  
-1024,64,1040  
-1008,0,992  
-1008,32,960  
-1040,-16,992  
-912,160,912  
-1040,480,832  
-976,144,592  
-864,144,624  
-720,256,464  
-896,384,608  
-800,320,816  
-1024,656,704  
-816,-48,992  
-1008,336,864  
-1232,-48,880  
-640,-368,784  
-768,336,240  
-816,-544,512  
-432,-384,208  
-304,-416,-192  
-272,-624,272  
-112,-688,384  
-80,-944,496  
-224,-768,496  
-256,-816,400  
-240,-784,544  
-224,-768,160  
-272,-720,448  
-240,-832,560  
-240,-976,544  
-240,-1136,512  
-176,-992,704  
-160,-1120,464  
-192,-864,576  
-208,-864,496  
-192,-928,656  
-192,-912,608  
-208,-960,688  
-176,-880,656  
-112,-944,736  
-112,-928,592  
-32,-960,656  
144,-992,656  
288,-912,768  
544,-752,800  
848,-560,832  
832,-576,800  
832,-480,848  
832,-544,816  
832,-592,816  
832,-576,816  
832,-576,816  
832,-576,800  
832,-576,816  
832,-576,816  
832,-576,816  
816,-624,800  
832,-528,800  
832,-496,768  
832,-496,752  
832,-544,896  
832,-512,800  
832,-560,816  
832,-576,800  
832,-560,816  
832,-576,800  
832,-576,816  
832,-592,800  
816,-512,768  
832,-528,736  
832,-608,784  
848,-640,800  
832,-576,784  
832,-608,816  
832,-560,832  
832,-576,816  
832,-576,800  
832,-576,816  
816,-576,816  
832,-576,816  
832,-576,816  
832,-560,816  
832,-592,800  
832,-576,784  
832,-608,816  
832,-576,816  
848,-496,848  
816,-496,848  
832,-528,832  
832,-624,816  
832,-576,832  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,800  
832,-576,816  
816,-560,816  
832,-576,816  
832,-576,832  
816,-576,816  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-560,816  
752,-464,864  
832,-576,816  
832,-576,816  
832,-560,816  
832,-576,816  
832,-560,832  
816,-576,816  
832,-576,816  
832,-560,832  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-592,800  
832,-560,832  
832,-560,832  
832,-576,816  
832,-560,832  
832,-576,816  
832,-576,816  
832,-576,800  
832,-576,816  
832,-576,832  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,832  
832,-576,816  
832,-608,832  
816,-576,816  
832,-560,832  
832,-576,832  
832,-576,832  
832,-576,800  
832,-576,816  
832,-560,832  
832,-576,816  
832,-576,816  
832,-560,816  
832,-560,816  
832,-592,816  
832,-560,832  
832,-576,832  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-592,800  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,832  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,832  
832,-560,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
832,-576,816  
816,-576,816  
832,-576,832  
